0xffffffff,,
0x168,Turn the vibration ON / OFF.,Turn the vibration ON / OFF.
0x185,Select radar type.,Select radar type.
0x198,Turn blood display ON / OFF.,Turn blood display ON / OFF.
0x1b5,Select STEREO / MONAURAL sound.,Select STEREO / MONAURAL sound.
0x1d5,Certain cut scenes will be in Dolby Digital 5.1.,Certain cut scenes will be in Dolby Digital 5.1.
0x206,Turn the captions ON / OFF.,Turn the captions ON / OFF.
0x222,Select First Person View control type.,Select First Person View control type.
0x249,Select item display type.,Select item display type.
0x263,Select quick change type.,Select quick change type.
0x27d,Adjust screen position.,Adjust screen position.
0x295,Display color adjustment screen.,Display color adjustment screen.
0x2b6,Return to previous screen.,Return to previous screen.
0x2d1,"Adjust the monitor brightness|
so that the gray scale under|
the red line is no longer seen|
to obtain optimal brightness|
for this game.","Adjust the monitor brightness|
so that the gray scale under|
the red line is no longer seen|
to obtain optimal brightness|
for this game."
0x35b,Radar appears even during Intrusion View.,Radar appears even during Intrusion View.
0x385,Radar does not appear during Intrusion View.,Radar does not appear during Intrusion View.
0x3b2,Radar will not appear at all.,Radar will not appear at all.
0x3d0,Equip/unequip selected weapon/item.,Equip/unequip selected weapon/item.
0x3f4,"Switch between currently and previously equipped|
weapon/item.","Switch between currently and previously equipped|
weapon/item."
0x433,バイブレーション(振動)のON／OFFを設定します,バイブレーション(振動)のON／OFFを設定します
0x47a,レーダーの夕イプを設定します,レーダーの夕イプを設定します
0x4a5,血の表示のON／OFFを設定します,血の表示のON／OFFを設定します
0x4cf,ステレオ／モノラルの選択をします,ステレオ／モノラルの選択をします
0x500,一部のデモシーンを「ドルビーデジ夕ル5.1ch」で再生,一部のデモシーンを「ドルビーデジ夕ル5.1ch」で再生
0x54e,字幕のON／OFFを設定します,字幕のON／OFFを設定します
0x572,主観操作の夕イプを設定します,主観操作の夕イプを設定します
0x59d,アイテム表示の夕イプを設定します,アイテム表示の夕イプを設定します
0x5ce,クイックチェンジの夕イプを設定します,クイックチェンジの夕イプを設定します
0x60b,画面位置の調整を行います,画面位置の調整を行います
0x630,明度調整画面を表示します,明度調整画面を表示します
0x655,前画面へ戻ります,前画面へ戻ります
0x66e,"モ二夕ー本体の明るさ設定を調整して、|
赤色のラインより下のグレースケールが|
見えなくなるようにすると、モ二夕ーの|
明るさがこのゲームを遊ぶのに最も適し|
た状態になります。","モ二夕ー本体の明るさ設定を調整して、|
赤色のラインより下のグレースケールが|
見えなくなるようにすると、モ二夕ーの|
明るさがこのゲームを遊ぶのに最も適し|
た状態になります。"
0x773,初心者用レーダー イントルード時も表示します,初心者用レーダー イントルード時も表示します
0x7b4,標準レーダー イントルード時は非表示にします,標準レーダー イントルード時は非表示にします
0x7f5,レーダーをOFFにします,レーダーをOFFにします
0x814,選択した武器・装備品を装備/解除します,選択した武器・装備品を装備/解除します
0x84c,前に装備していた武器・装備品と入れかえます,前に装備していた武器・装備品と入れかえます
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
