0xffffffff,,
0x210,Turn the vibration ON / OFF.,Turn the vibration ON / OFF.
0x22d,Select radar type.,Select radar type.
0x240,Turn blood display ON / OFF.,Turn blood display ON / OFF.
0x25d,Select STEREO / MONAURAL sound.,Select STEREO / MONAURAL sound.
0x27d,Certain cut scenes will be in Dolby Digital 5.1.,Certain cut scenes will be in Dolby Digital 5.1.
0x2ae,Turn the captions ON / OFF.,Turn the captions ON / OFF.
0x2ca,Select First Person View control type.,Select First Person View control type.
0x2f1,Select item display type.,Select item display type.
0x30b,Select quick change type.,Select quick change type.
0x325,Adjust screen position.,Adjust screen position.
0x33d,Display color adjustment screen.,Display color adjustment screen.
0x35e,Return to previous screen.,Return to previous screen.
0x379,"Adjust the monitor brightness|
so that the gray scale under|
the red line is no longer seen|
to obtain optimal brightness|
for this game.","Adjust the monitor brightness|
so that the gray scale under|
the red line is no longer seen|
to obtain optimal brightness|
for this game."
0x403,Radar appears even during Intrusion View.,Radar appears even during Intrusion View.
0x42d,Radar does not appear during Intrusion View.,Radar does not appear during Intrusion View.
0x45a,Radar will not appear at all.,Radar will not appear at all.
0x478,Equip/unequip selected weapon/item.,Equip/unequip selected weapon/item.
0x49c,"Switch between currently and previously equipped|
weapon/item.","Switch between currently and previously equipped|
weapon/item."
0x4db,バイブレーション(振動)のON／OFFを設定します,バイブレーション(振動)のON／OFFを設定します
0x522,レーダーの夕イプを設定します,レーダーの夕イプを設定します
0x54d,血の表示のON／OFFを設定します,血の表示のON／OFFを設定します
0x577,ステレオ／モノラルの選択をします,ステレオ／モノラルの選択をします
0x5a8,一部のデモシーンを「ドルビーデジ夕ル5.1ch」で再生,一部のデモシーンを「ドルビーデジ夕ル5.1ch」で再生
0x5f6,字幕のON／OFFを設定します,字幕のON／OFFを設定します
0x61a,主観操作の夕イプを設定します,主観操作の夕イプを設定します
0x645,アイテム表示の夕イプを設定します,アイテム表示の夕イプを設定します
0x676,クイックチェンジの夕イプを設定します,クイックチェンジの夕イプを設定します
0x6b3,画面位置の調整を行います,画面位置の調整を行います
0x6d8,明度調整画面を表示します,明度調整画面を表示します
0x6fd,前画面へ戻ります,前画面へ戻ります
0x716,"モ二夕ー本体の明るさ設定を調整して、|
赤色のラインより下のグレースケールが|
見えなくなるようにすると、モ二夕ーの|
明るさがこのゲームを遊ぶのに最も適し|
た状態になります。","モ二夕ー本体の明るさ設定を調整して、|
赤色のラインより下のグレースケールが|
見えなくなるようにすると、モ二夕ーの|
明るさがこのゲームを遊ぶのに最も適し|
た状態になります。"
0x81b,初心者用レーダー イントルード時も表示します,初心者用レーダー イントルード時も表示します
0x85c,標準レーダー イントルード時は非表示にします,標準レーダー イントルード時は非表示にします
0x89d,レーダーをOFFにします,レーダーをOFFにします
0x8bc,選択した武器・装備品を装備/解除します,選択した武器・装備品を装備/解除します
0x8f4,前に装備していた武器・装備品と入れかえます,前に装備していた武器・装備品と入れかえます
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
0xffffffff,,
